column,line_index,line_label,primed,is_first_line,sparse,n_signs,ax0,ay0,ax1,ay1,thickness,tilt_deg
single,44,1',True,True,True,1,87.3,252.4,174.1,240.3,86.3,-7.9
single,45,2',True,False,True,2,82.6,330.8,216.3,312.2,118.7,-7.9
single,47,3',True,False,False,7,89.7,434.9,2370.8,138.3,107.9,-7.4
single,48,4',True,False,False,4,90.8,520.0,2413.5,208.8,112.5,-7.6
single,49,5',True,False,False,7,87.5,597.2,2387.3,284.6,120.9,-7.7
single,50,6',True,False,False,8,82.3,684.2,2386.3,360.4,126.1,-8.0
single,52,7',True,False,False,16,92.1,770.6,2430.3,472.8,114.7,-7.3
single,53,8',True,False,True,2,1998.7,610.4,2395.9,555.0,137.6,-7.9
single,54,9',True,False,False,5,156.7,911.9,2424.6,632.7,154.1,-7.0
single,55,10',True,False,False,5,166.3,993.8,2367.1,714.5,143.1,-7.2
single,57,11',True,False,False,5,204.5,1091.2,1673.4,901.1,132.1,-7.4
single,58,12',True,False,False,4,458.1,1142.3,2376.7,893.4,145.8,-7.4
single,59,13',True,False,True,2,965.3,1154.4,1735.6,1047.0,173.3,-7.9
single,60,14',True,False,False,5,496.4,1288.1,2410.2,1093.4,126.6,-5.8
single,62,15',True,False,False,13,223.7,1466.0,2376.7,1119.6,132.1,-9.1
single,63,16',True,False,False,3,754.8,1453.4,2247.5,1238.4,126.6,-8.2
single,64,17',True,False,False,6,706.9,1546.5,2410.2,1291.0,140.3,-8.5
single,65,18',True,False,False,3,716.5,1634.5,2190.1,1422.0,137.6,-8.2
single,67,19',True,False,False,6,204.5,1812.2,2271.5,1500.2,134.8,-8.6
single,68,20',True,False,False,3,673.4,1814.2,2199.7,1602.8,148.6,-7.9
single,69,21',True,False,False,6,118.4,1982.2,2281.0,1671.2,132.1,-8.2
single,70,22',True,False,False,12,113.6,2071.8,2438.9,1731.4,129.3,-8.3
single,72,23',True,False,False,11,180.6,2169.8,2391.1,1839.2,126.6,-8.5
single,73,24',True,False,False,6,372.0,2228.9,2443.7,1916.3,132.1,-8.6
single,74,25',True,False,False,4,649.5,2255.8,1960.5,2073.0,132.1,-7.9
single,75,26',True,False,False,3,941.4,2307.9,2285.8,2107.8,137.6,-8.5
single,78,27',True,False,False,11,111.3,2655.6,2086.4,2399.7,158.3,-7.4
