column,line_index,line_label,primed,is_first_line,sparse,n_signs,ax0,ay0,ax1,ay1,thickness,tilt_deg
single,1,1,False,True,False,15,40.5,139.1,2212.8,166.4,105.9,0.7
single,2,2,False,False,False,13,-416.7,235.8,2365.7,243.4,120.1,0.2
single,3,3,False,False,False,9,36.9,322.4,2408.3,312.9,136.5,-0.2
single,5,4,False,False,False,13,38.7,458.1,2474.7,421.0,131.0,-0.9
single,6,5,False,False,True,1,2256.3,523.9,2484.2,505.4,120.1,-4.6
single,7,6,False,False,False,8,-388.2,639.4,2470.0,584.4,112.3,-1.1
single,8,7,False,False,False,7,47.7,715.3,2465.3,653.4,112.3,-1.5
single,9,8,False,False,False,6,42.2,805.6,2413.0,734.1,122.6,-1.7
single,11,9,False,False,False,6,55.1,917.4,2460.5,813.7,98.5,-2.5
single,12,10,False,False,False,7,53.2,1010.5,2470.0,875.7,112.3,-3.2
single,13,11,False,False,False,7,48.1,1100.2,2432.0,959.7,144.1,-3.4
single,14,12,False,False,False,7,46.3,1200.3,2436.8,1048.2,127.1,-3.6
single,16,13,False,False,False,14,53.9,1310.2,2413.0,1181.9,119.8,-3.1
single,17,14,False,False,False,12,49.2,1402.8,2432.0,1252.8,142.0,-3.6
single,18,15,False,False,False,10,51.6,1489.5,2455.8,1327.3,136.5,-3.9
single,19,16,False,False,False,10,52.6,1579.5,2470.0,1393.1,139.2,-4.4
single,21,17,False,False,False,18,50.0,1693.5,2444.8,1499.3,122.7,-4.6
single,22,18,False,False,False,15,56.4,1787.3,2427.3,1574.6,126.9,-5.1
single,23,19,False,False,False,11,59.1,1862.2,2455.8,1649.2,117.4,-5.1
single,24,20,False,False,False,10,56.4,1946.9,2412.2,1725.7,114.7,-5.4
single,26,21,False,False,False,21,65.2,2047.8,2426.6,1818.0,125.3,-5.6
single,27,22,False,False,False,17,70.8,2133.3,2402.9,1893.0,124.9,-5.9
single,28,23,False,False,False,10,68.5,2210.3,2421.8,1971.4,118.4,-5.8
single,29,24,False,False,False,11,61.5,2293.9,2440.7,2031.9,124.9,-6.3
single,31,25,False,False,False,19,68.4,2390.0,2417.1,2129.5,124.9,-6.3
single,32,26,False,False,False,11,71.0,2467.5,2417.1,2216.2,112.6,-6.1
single,33,27,False,False,False,15,67.5,2549.3,2410.4,2287.8,117.4,-6.4
single,34,28,False,False,False,11,64.7,2630.8,2436.0,2343.9,123.7,-6.9
single,36,29,False,False,False,19,64.3,2726.4,2440.7,2444.8,118.9,-6.8
single,37,30,False,False,False,14,69.8,2806.9,2439.2,2526.0,111.0,-6.8
single,38,31,False,False,False,11,164.3,2875.0,2385.7,2598.9,104.7,-7.1
single,39,32,False,False,False,9,474.5,2924.0,2423.0,2663.9,109.4,-7.6
