column,line_index,line_label,primed,is_first_line,sparse,n_signs,ax0,ay0,ax1,ay1,thickness,tilt_deg
single,1,1,False,True,False,3,1007.0,117.7,1265.5,81.1,78.6,-8.1
single,2,2,False,False,False,4,945.3,170.4,1282.6,140.4,74.5,-5.1
single,3,3,False,False,False,3,913.9,221.3,1291.2,194.6,71.0,-4.1
single,4,4,False,False,True,2,997.8,271.3,1294.0,247.6,68.8,-4.6
single,6,5,False,False,False,3,955.4,326.9,1288.3,315.1,91.7,-2.0
single,7,6,False,False,True,2,969.3,382.3,1276.9,357.7,72.1,-4.6
single,8,7,False,False,True,2,992.1,424.4,1276.9,401.6,62.2,-4.6
single,9,8,False,False,True,2,1012.9,475.0,1285.5,453.2,82.3,-4.6
single,10,,,False,True,2,930.3,538.8,1284.2,510.5,89.4,-4.6
single,11,10,False,False,True,1,1165.9,583.1,1262.7,575.4,88.4,-4.6
single,12,,,False,True,2,1140.4,636.7,1245.7,628.3,70.9,-4.6
