face,tablet,script,side,object,file,crop_method,background,crop_x0,crop_y0,crop_x1,crop_y1,width,height,n_columns,n_lines,atf_lines_side,coverage,pitch_px,skew_deg,px_per_line,face_image_scale
AO.9073__obverse,AO.9073,NA,obverse,,samples/ebl/AO.9073/faces/AO.9073__obverse.jpg,blob,0,222,1044,3888,3816,3666,2772,1,22,22,1.0,108.1,2.1,108.1,0.436442989634479
AO.9073__reverse,AO.9073,NA,reverse,,samples/ebl/AO.9073/faces/AO.9073__reverse.jpg,blob,0,162,5418,3858,8070,3696,2652,1,16,16,1.0,120.6,1.9,120.6,0.4329004329004329
BM.42264__edge,BM.42264,OB,edge,,samples/ebl/BM.42264/faces/BM.42264__edge.jpg,blob,0,573,897,1491,2883,918,1986,1,4,4,1.0,139.4,1.2,139.4,0.8056394763343404
BM.42264__obverse,BM.42264,OB,obverse,,samples/ebl/BM.42264/faces/BM.42264__obverse.jpg,blob,0,593,47,1465,943,872,896,1,6,6,1.0,111.7,3.8,111.7,1.0
BM.42264__reverse,BM.42264,OB,reverse,,samples/ebl/BM.42264/faces/BM.42264__reverse.jpg,blob,0,555,1425,1515,2391,960,966,1,4,4,1.0,187.0,1.4,187.0,1.0
HS.2067__obverse,HS.2067,OB,obverse,,samples/ebl/HS.2067/faces/HS.2067__obverse.jpg,blob,0,553,0,1877,1913,1324,1913,1,7,6,1.17,274.0,7.5,274.0,0.836382645060115
HS.2067__reverse,HS.2067,OB,reverse,,samples/ebl/HS.2067/faces/HS.2067__reverse.jpg,blob,0,612,2406,1818,4272,1206,1866,1,10,10,1.0,156.5,6.3,156.5,0.857449088960343
HS.2067__top,HS.2067,OB,top,,samples/ebl/HS.2067/faces/HS.2067__top.jpg,blob,0,516,4098,1914,4920,1398,822,1,1,1,1.0,,3.1,,1.0
HS.2371__obverse,HS.2371,OB,obverse,,samples/ebl/HS.2371/faces/HS.2371__obverse.jpg,blob,0,661,61,2021,2339,1360,2278,1,22,24,0.92,83.3,2.9,83.3,0.7023705004389815
HS.2371__reverse,HS.2371,OB,reverse,,samples/ebl/HS.2371/faces/HS.2371__reverse.jpg,blob,0,655,3013,2039,5357,1384,2344,1,9,9,1.0,94.2,3.9,94.2,0.6825938566552902
K.2712__obverse,K.2712,NA,obverse,,samples/ebl/K.2712/faces/K.2712__obverse.jpg,blob,0,1428,414,3960,3420,2532,3006,1,32,33,0.97,85.0,4.6,85.0,0.5322687957418496
K.2712__reverse,K.2712,NA,reverse,,samples/ebl/K.2712/faces/K.2712__reverse.jpg,blob,0,1427,4691,3961,7573,2534,2882,1,27,27,1.0,87.3,7.9,87.3,0.5551700208188758
K.3118__obverse,K.3118,NA,obverse,,samples/ebl/K.3118/faces/K.3118__obverse.jpg,blob,0,663,81,2487,5565,1824,5484,1,26,26,1.0,43.0,3.3,43.0,0.29175784099197666
K.3118__reverse,K.3118,NA,reverse,,samples/ebl/K.3118/faces/K.3118__reverse.jpg,blob,0,618,36,2532,5610,1914,5574,1,21,22,0.95,132.1,1.3,132.1,0.2870470039468963
K.3810__obverse,K.3810,NA,obverse,,samples/ebl/K.3810/faces/K.3810__obverse.jpg,blob,0,563,83,2077,913,1514,830,1,9,9,1.0,39.0,1.5,39.0,1.0
K.3810__reverse,K.3810,NA,reverse,,samples/ebl/K.3810/faces/K.3810__reverse.jpg,blob,0,514,1534,2114,2576,1600,1042,1,3,3,1.0,125.5,1.7,125.5,1.0
K.4003__obverse,K.4003,NA,obverse,,samples/ebl/K.4003/faces/K.4003__obverse.jpg,blob,0,968,128,3196,3376,2228,3248,1,27,27,1.0,116.2,9.6,116.2,0.49261083743842365
K.4003__reverse,K.4003,NA,reverse,,samples/ebl/K.4003/faces/K.4003__reverse.jpg,blob,0,991,4417,3185,7583,2194,3166,1,20,20,1.0,82.7,10.5,82.7,0.505369551484523
K.6201__obverse,K.6201,NA,obverse,,samples/ebl/K.6201/faces/K.6201__obverse.jpg,blob,0,923,269,2647,1591,1724,1322,1,18,18,1.0,63.0,0.9,63.0,0.9280742459396751
K.6201__reverse,K.6201,NA,reverse,,samples/ebl/K.6201/faces/K.6201__reverse.jpg,blob,0,870,2316,2676,3708,1806,1392,1,4,4,1.0,144.4,2.3,144.4,0.8859357696566998
K.7114__obverse,K.7114,NA,obverse,,samples/ebl/K.7114/faces/K.7114__obverse.jpg,blob,0,1063,541,3017,2579,1954,2038,1,3,3,1.0,82.5,-0.0,82.5,0.7850834151128557
K.7114__reverse,K.7114,NA,reverse,,samples/ebl/K.7114/faces/K.7114__reverse.jpg,blob,0,1026,3246,3060,5502,2034,2256,1,14,14,1.0,157.5,2.3,157.5,0.7092198581560284
K.7853__obverse,K.7853,NA,obverse,,samples/ebl/K.7853/faces/K.7853__obverse.jpg,blob,0,1013,425,2329,2875,1316,2450,1,11,11,1.0,51.3,4.6,51.3,0.6530612244897959
K.7853__reverse,K.7853,NA,reverse,,samples/ebl/K.7853/faces/K.7853__reverse.jpg,blob,0,1053,3615,2373,6237,1320,2622,1,31,31,1.0,66.9,2.2,66.9,0.6102212051868803
K.9654__obverse,K.9654,NA,obverse,,samples/ebl/K.9654/faces/K.9654__obverse.jpg,blob,0,740,152,1702,1216,962,1064,1,11,11,1.0,80.2,3.9,80.2,1.0
K.9654__reverse,K.9654,NA,reverse,,samples/ebl/K.9654/faces/K.9654__reverse.jpg,blob,0,751,1783,1727,2969,976,1186,1,14,14,1.0,71.7,3.8,71.7,1.0
K.9905__obverse,K.9905,NA,obverse,,samples/ebl/K.9905/faces/K.9905__obverse.jpg,blob,0,794,164,1840,1798,1046,1634,1,26,26,1.0,57.6,2.3,57.6,0.9791921664626683
K.9905__reverse,K.9905,NA,reverse,,samples/ebl/K.9905/faces/K.9905__reverse.jpg,blob,0,815,2465,1765,4141,950,1676,1,15,15,1.0,62.6,-0.0,62.6,0.954653937947494
NBC.7278__obverse,NBC.7278,OB,obverse,,samples/ebl/NBC.7278/faces/NBC.7278__obverse.jpg,blob,0,1789,1381,4421,6263,2632,4882,1,18,18,1.0,215.1,2.7,215.1,0.3277345350266284
NBC.7278__reverse,NBC.7278,OB,reverse,,samples/ebl/NBC.7278/faces/NBC.7278__reverse.jpg,blob,0,1813,7435,4433,12275,2620,4840,1,7,7,1.0,203.1,1.9,203.1,0.3305785123966942
YBC.13099__bottom,YBC.13099,OB,bottom,,samples/ebl/YBC.13099/faces/YBC.13099__bottom.jpg,blob,0,1885,2833,4031,4427,2146,1594,1,1,1,1.0,,1.4,,0.7455731593662628
YBC.13099__obverse,YBC.13099,OB,obverse,,samples/ebl/YBC.13099/faces/YBC.13099__obverse.jpg,blob,0,2039,1163,3877,3139,1838,1976,1,5,5,1.0,267.1,7.6,267.1,0.8097165991902834
YBC.13099__reverse,YBC.13099,OB,reverse,,samples/ebl/YBC.13099/faces/YBC.13099__reverse.jpg,blob,0,2064,4152,3846,6060,1782,1908,1,6,6,1.0,205.3,4.1,205.3,0.8385744234800838
YBC.13099__top,YBC.13099,OB,top,,samples/ebl/YBC.13099/faces/YBC.13099__top.jpg,blob,0,1960,10,3950,1400,1990,1390,1,3,2,1.5,,2.0,,0.8040201005025126
YBC.4590__obverse,YBC.4590,OB,obverse,,samples/ebl/YBC.4590/faces/YBC.4590__obverse.jpg,blob,0,1818,1362,4542,5820,2724,4458,1,17,18,0.94,108.0,6.2,108.0,0.35890533871691344
YBC.4590__reverse,YBC.4590,OB,reverse,,samples/ebl/YBC.4590/faces/YBC.4590__reverse.jpg,blob,0,1924,7054,4664,11522,2740,4468,1,12,12,1.0,125.3,7.3,125.3,0.35810205908683973
YBC.5056__obverse,YBC.5056,OB,obverse,,samples/ebl/YBC.5056/faces/YBC.5056__obverse.jpg,blob,0,1404,1044,5568,3714,4164,2670,1,7,7,1.0,336.8,4.8,336.8,0.38424591738712777
YBC.5056__reverse,YBC.5056,OB,reverse,,samples/ebl/YBC.5056/faces/YBC.5056__reverse.jpg,blob,0,1453,4555,5573,7163,4120,2608,1,5,5,1.0,275.2,4.1,275.2,0.3883495145631068
YBC.5722__bottom,YBC.5722,OB,bottom,,samples/ebl/YBC.5722/faces/YBC.5722__bottom.jpg,blob,0,2287,4735,4439,6059,2152,1324,1,3,3,1.0,167.2,1.3,167.2,0.7434944237918215
YBC.5722__obverse,YBC.5722,OB,obverse,,samples/ebl/YBC.5722/faces/YBC.5722__obverse.jpg,blob,0,2260,1372,4466,4760,2206,3388,1,15,13,1.15,112.2,5.9,112.2,0.4722550177095632
YBC.5722__reverse,YBC.5722,OB,reverse,,samples/ebl/YBC.5722/faces/YBC.5722__reverse.jpg,blob,0,2268,6054,4458,9432,2190,3378,1,15,16,0.94,97.8,5.2,97.8,0.47365304914150386
YBC.6236__bottom__tablet,YBC.6236,OB,bottom,tablet,samples/ebl/YBC.6236/faces/YBC.6236__bottom__tablet.jpg,blob,0,1685,5603,4555,7531,2870,1928,1,3,3,1.0,,3.1,,0.5574912891986062
YBC.6236__obverse__tablet,YBC.6236,OB,obverse,tablet,samples/ebl/YBC.6236/faces/YBC.6236__obverse__tablet.jpg,blob,0,1764,1506,4506,5880,2742,4374,1,15,13,1.15,289.3,2.3,289.3,0.36579789666209417
YBC.6236__reverse__tablet,YBC.6236,OB,reverse,tablet,samples/ebl/YBC.6236/faces/YBC.6236__reverse__tablet.jpg,blob,0,1866,7242,4584,11646,2718,4404,1,14,13,1.08,277.6,4.5,277.6,0.36330608537693004
YBC.7191__obverse,YBC.7191,OB,obverse,,samples/ebl/YBC.7191/faces/YBC.7191__obverse.jpg,blob,0,2196,1350,4614,5616,2418,4266,1,14,14,1.0,265.2,6.3,265.2,0.3750586029067042
YBC.7191__reverse,YBC.7191,OB,reverse,,samples/ebl/YBC.7191/faces/YBC.7191__reverse.jpg,blob,0,2215,6775,4601,10991,2386,4216,1,18,19,0.95,214.2,5.0,214.2,0.3795066413662239
