face,split,bucket
"1868,0523.2__face",tune,NA/mid
"1879,0708.232__obverse",test,NA/mid
"1879,0708.31__obverse",tune,NA/lo
"1879,0708.86__obverse",tune,NA/mid
"1879,0708.86__reverse",test,NA/mid
"1880,0719.127__reverse",test,NA/lo
"1880,0719.194__face",tune,NA/mid
"1880,0719.277__reverse",test,NA/lo
"1880,0719.281__obverse",tune,NA/mid
"1880,0719.281__reverse",tune,NA/mid
"1881,0204.249__reverse",test,NA/lo
"1881,0204.303__face",test,NA/lo
"1882,0323.102__face",tune,NA/mid
"1882,0323.77__face",tune,NA/lo
"1882,0522.1777__face",test,NA/lo
"1882,0522.538__face",tune,NA/lo
"1882,0522.552__reverse",tune,NA/hi
"1883,0118.468__face",tune,NA/lo
"1883,0118.694__face",tune,NA/lo
2NT.529__obverse,test,OB/hi
3NT.442__reverse,test,OB/mid
AO.7482__face,test,NA/lo
AO.9073__obverse,test,NA/mid
AO.9073__reverse,test,NA/hi
BM.109168__obverse,tune,OB/mid
BM.109168__reverse,test,OB/lo
BM.121042__face,test,NA/mid
BM.121131.A__face,tune,NA/lo
BM.122647__obverse,test,NA/lo
BM.122647__reverse,tune,NA/lo
BM.123379__obverse,tune,NA/mid
BM.131460__face,tune,OB/mid
BM.131470__obverse,tune,OB/mid
BM.131470__reverse,test,OB/hi
BM.131470__top,tune,OB/mid
BM.131481__face,tune,OB/mid
BM.132591__reverse,test,NA/lo
BM.134811__obverse,test,NA/mid
BM.141781__obverse,test,NA/mid
BM.33161__obverse,test,OB/lo
BM.33161__obverse__tablet,test,OB/mid
BM.33161__reverse__tablet,tune,OB/mid
BM.38325__obverse,test,OB/hi
BM.38325__reverse,test,OB/hi
BM.38765__obverse,tune,OB/hi
BM.39805__face,tune,OB/hi
BM.40955__obverse,tune,OB/hi
BM.42260__obverse,test,OB/mid
BM.42260__reverse,tune,OB/lo
BM.42263__edge,tune,OB/mid
BM.42263__obverse,test,OB/mid
BM.42263__reverse,tune,OB/mid
BM.42264__edge,test,OB/hi
BM.42264__obverse,test,OB/mid
BM.42264__reverse,test,OB/hi
BM.42266__obverse,test,OB/hi
BM.42321__edge,test,OB/mid
BM.42321__obverse,test,OB/mid
BM.42321__reverse,tune,OB/lo
BM.43194__face,tune,OB/mid
BM.43204__face,test,OB/mid
BM.43731__edge,tune,OB/lo
BM.43731__obverse,tune,OB/hi
BM.43802__reverse,test,OB/mid
BM.46918__obverse,tune,OB/hi
BM.46918__reverse,tune,OB/lo
BM.46918__top,test,OB/lo
BM.47339__face,test,OB/hi
BM.48430__obverse,test,OB/hi
BM.48430__reverse,test,OB/hi
CBS.112__obverse,tune,OB/hi
CBS.112__reverse,test,OB/hi
CBS.1384__obverse,tune,OB/hi
CBS.1384__reverse,tune,OB/hi
CBS.14054__reverse,tune,OB/hi
CBS.1422__obverse,test,OB/hi
CBS.1422__reverse,test,OB/lo
CBS.1470__obverse,test,NA/hi
CBS.1470__reverse,tune,NA/hi
CBS.1490__bottom,test,NA/hi
CBS.1490__obverse,test,NA/hi
CBS.1490__reverse,test,NA/hi
CBS.15049__obverse,test,OB/lo
CBS.1516__obverse,tune,NA/hi
CBS.1516__reverse,tune,NA/hi
CBS.1554__obverse,tune,OB/lo
CBS.1554__reverse,tune,OB/hi
CBS.156__obverse,test,OB/hi
CBS.156__reverse,test,OB/hi
CBS.1596__obverse,test,OB/lo
CBS.1601__obverse,test,OB/lo
CBS.1601__reverse,tune,OB/lo
CBS.2249__obverse,tune,OB/lo
CBS.3656__obverse,test,OB/hi
CBS.3656__reverse,test,OB/lo
CBS.516__bottom,tune,OB/lo
CBS.516__obverse,test,OB/hi
CBS.6510__obverse,tune,OB/lo
CBS.9857__obverse,test,OB/mid
CBS.9857__reverse,test,OB/lo
DT.144__reverse,test,NA/lo
DT.180__obverse,test,NA/lo
DT.294__reverse,test,NA/lo
DT.42__face,test,NA/lo
DT.57__obverse,tune,NA/lo
DT.57__reverse,tune,NA/lo
DT.67__obverse,test,NA/lo
DT.67__reverse,test,NA/mid
HS.1342__obverse,tune,OB/hi
HS.1342__reverse,test,OB/hi
HS.1377.A__obverse,tune,OB/hi
HS.1377.A__reverse,tune,OB/mid
HS.1377.B__obverse,test,OB/hi
HS.1443__reverse,tune,OB/mid
HS.1504__obverse,tune,OB/mid
HS.1709__obverse,test,OB/hi
