column,line_index,line_label,primed,is_first_line,sparse,n_signs,ax0,ay0,ax1,ay1,thickness,tilt_deg
single,1,1,False,True,False,15,114.1,223.9,2172.3,189.7,147.1,-1.0
single,2,2,False,False,False,12,103.1,320.2,2157.7,288.6,124.0,-0.9
single,3,3,False,False,False,11,88.5,447.2,2168.7,353.6,126.1,-2.6
single,4,4,False,False,False,9,88.8,553.2,2154.0,434.1,138.7,-3.3
single,6,5,False,False,False,20,88.8,676.7,2165.0,541.7,140.8,-3.7
single,7,6,False,False,False,10,77.3,798.3,2157.7,628.2,132.4,-4.7
single,8,7,False,False,False,10,84.5,900.7,2154.0,716.7,141.3,-5.1
single,9,8,False,False,False,15,80.9,1016.5,2154.0,799.7,138.7,-6.0
single,11,9,False,False,False,26,70.0,1132.0,2189.5,931.2,136.6,-5.4
single,12,10,False,False,False,12,86.8,1271.6,2164.9,1009.2,136.6,-7.2
single,13,11,False,False,False,12,75.9,1408.6,1960.3,1120.9,154.2,-8.7
single,14,12,False,False,False,9,61.6,1533.8,1832.3,1252.9,147.1,-9.0
single,16,,,False,False,13,55.7,1656.9,1723.0,1405.8,128.3,-8.6
single,17,14,False,False,False,6,160.8,1760.8,1042.1,1612.3,136.8,-9.6
single,18,15,False,False,False,6,72.9,1892.1,1138.1,1696.3,132.4,-10.4
single,19,16,False,False,False,6,70.3,2005.5,1249.9,1777.5,144.2,-10.9
single,21,17,False,False,False,15,63.2,2117.5,1419.3,1875.5,119.7,-10.1
single,22,18,False,False,False,9,66.5,2229.4,1443.5,1973.8,133.6,-10.5
single,23,19,False,False,False,11,64.1,2352.5,1433.8,2071.6,128.0,-11.6
single,24,21,False,False,False,11,69.0,2459.5,1424.1,2183.4,144.7,-11.5
single,25,22,False,False,False,15,61.7,2568.4,1351.5,2311.9,116.9,-11.2
single,26,23,False,False,False,11,73.8,2668.6,1324.9,2427.4,139.1,-10.9
single,28,24,False,False,False,13,61.7,2795.0,1298.3,2560.1,122.4,-10.8
single,29,25,False,False,False,7,301.3,2856.2,1133.7,2697.0,116.9,-10.8
single,30,26,False,False,False,11,286.8,2955.9,1240.2,2780.5,128.0,-10.4
single,31,27,False,False,False,8,318.8,3072.2,1239.6,2895.7,114.8,-10.9
single,32,28,False,False,False,4,700.1,3108.8,1165.9,3008.7,114.8,-12.1
